# Spoken aliases laid over suggestions.tsv (see EmojiTable in SpokenEmoji.swift).
# Keys are lower-cased with spaces removed, like the generated table. An alias
# replaces a generated entry with the same key. Mirror this file in VocaPhone.
#
# Colors and hearts
blueheart	💙
grayheart	🩶
hearts	💕
# Hands
fingerscrossed	🤞
highfive	✋
thumbup	👍
thumbdown	👎
pointup	☝️
pointingup	☝️
pointdown	👇
pointingdown	👇
pointleft	👈
pointingleft	👈
pointright	👉
peacesign	✌️
praying	🙏
# Marks
check	✅
tick	✅
greencheck	✅
greentick	✅
redx	❌
xmark	❌
questionmark	❓
redquestionmark	❓
exclamation	❗
exclamationmark	❗
100%	💯
100percent	💯
hundredpercent	💯
onehundredpercent	💯
# Faces
hmm	🤔
sweatsmile	😅
sweatysmile	😅
cryinglaughing	😂
laughcry	😂
laughcrying	😂
winky	😉
winkyface	😉
kissingface	😗
puppyeyes	🥺
puppydogeyes	🥺
shush	🤫
vomit	🤮
puke	🤮
throwup	🤮
seenoevil	🙈
hearnoevil	🙉
speaknoevil	🙊
# Things
beers	🍻
cheers	🥂
celebration	🎉
celebrate	🎉
# Flags
usflag	🇺🇸
usaflag	🇺🇸
americanflag	🇺🇸
ukflag	🇬🇧
britishflag	🇬🇧
indiaflag	🇮🇳
indianflag	🇮🇳
canadaflag	🇨🇦
canadianflag	🇨🇦
prideflag	🏳️‍🌈
checkeredflag	🏁
racingflag	🏁
# Speech over CLDR: what people mean when they say these
salute	🫡
peace	✌️
hugging	🤗
smileyface	😃
